"fecha";"matricula_carrera";"carrera_academica";"periodo";"año_y";"porcentaje"
"2013-10-01";"48";"TRABAJO SOCIAL";"2013-II";"2013";"0.16"
"2013-10-01";"17";"INGENIERÍA EN ZOOTECNIA E INDUSTRIA PECUARIA";"2013-II";"2013";"0.06"
"2013-10-01";"131";"DERECHO";"2013-II";"2013";"0.44"
"2013-10-01";"203";"INGENIERÍA DE SISTEMAS";"2013-II";"2013";"0.68"
"2013-10-01";"24";"MEDICINA";"2013-II";"2013";"0.08"
"2013-10-01";"2";"GESTIÓN TURÍSTICA Y HOTELERA";"2013-II";"2013";"0.01"
"2013-10-01";"8";"CIENCIAS FÍSICAS  Y ENERGÍAS ALTERNATIVAS";"2013-II";"2013";"0.03"
"2013-10-01";"24";"CONTADURÍA PÚBLICA";"2013-II";"2013";"0.08"
"2014-01-01";"210";"CIENCIAS POLITICAS";"2014-I";"2014";"0.61"
"2014-01-01";"785";"INGENIERÍA AGRONÓMICA";"2014-I";"2014";"2.29"
"2014-01-01";"1616";"ADMINISTRACIÓN DE EMPRESAS";"2014-I";"2014";"4.72"
"2014-01-01";"580";"INGENIERÍA ELECTRÓNICA";"2014-I";"2014";"1.70"
"2014-01-01";"1274";"MEDICINA";"2014-I";"2014";"3.72"
"2014-01-01";"811";"MEDICINA VETERINARIA Y ZOOTECNIA";"2014-I";"2014";"2.37"
"2014-01-01";"464";"GESTIÓN TURÍSTICA Y HOTELERA";"2014-I";"2014";"1.36"
"2014-01-01";"276";"NUTRICIÓN Y DIETÉTICA";"2014-I";"2014";"0.81"
"2014-01-01";"175";"ARTES PLÁSTICAS";"2014-I";"2014";"0.51"
"2014-01-01";"1022";"LINGÜÍSTICA E IDIOMAS";"2014-I";"2014";"2.99"
"2014-01-01";"956";"EDUCACIÓN PARVULARIA";"2014-I";"2014";"2.79"
"2014-01-01";"96";"INGENIERÍA TEXTIL";"2014-I";"2014";"0.28"
"2014-01-01";"3467";"CIENCIAS DE LA EDUCACIÓN";"2014-I";"2014";"10.14"
"2014-01-01";"903";"CIENCIAS DE LA COMUNICACIÓN SOCIAL";"2014-I";"2014";"2.64"
"2014-01-01";"76";"CIENCIAS FÍSICAS  Y ENERGÍAS ALTERNATIVAS";"2014-I";"2014";"0.22"
"2014-01-01";"3053";"CONTADURÍA PÚBLICA";"2014-I";"2014";"8.93"
"2014-01-01";"577";"COMERCIO INTERNACIONAL";"2014-I";"2014";"1.69"
"2014-01-01";"707";"INGENIERÍA CIVIL";"2014-I";"2014";"2.07"
"2014-01-01";"1598";"ENFERMERÍA";"2014-I";"2014";"4.67"
"2014-01-01";"1447";"ODONTOLOGÍA";"2014-I";"2014";"4.23"
"2014-01-01";"319";"CIENCIAS DEL DESARROLLO";"2014-I";"2014";"0.93"
"2014-01-01";"607";"INGENIERÍA DE GAS Y PETROQUÍMICA";"2014-I";"2014";"1.77"
"2014-01-01";"144";"INGENIERÍA AMBIENTAL";"2014-I";"2014";"0.42"
"2014-01-01";"456";"PSICOLOGÍA";"2014-I";"2014";"1.33"
"2014-01-01";"398";"INGENIERÍA AUTOTRÓNICA";"2014-I";"2014";"1.16"
"2014-01-01";"179";"HISTORIA";"2014-I";"2014";"0.52"
"2014-01-01";"115";"INGENIERÍA ELECTRICA";"2014-I";"2014";"0.34"
"2014-01-01";"258";"SOCIOLOGÍA";"2014-I";"2014";"0.75"
"2014-01-01";"801";"ARQUITECTURA";"2014-I";"2014";"2.34"
"2014-01-01";"956";"TRABAJO SOCIAL";"2014-I";"2014";"2.79"
"2014-01-01";"157";"INGENIERÍA EN ZOOTECNIA E INDUSTRIA PECUARIA";"2014-I";"2014";"0.46"
"2014-01-01";"5457";"DERECHO";"2014-I";"2014";"15.95"
"2014-01-01";"461";"INGENIERÍA EN PRODUCCIÓN EMPRESARIAL";"2014-I";"2014";"1.35"
"2014-01-01";"681";"ECONOMÍA";"2014-I";"2014";"1.99"
"2014-07-01";"1655";"INGENIERÍA DE SISTEMAS";"2014-I";"2014";"4.84"
"2014-08-01";"3";"CONTADURÍA PÚBLICA";"2014-II";"2014";"0.01"
"2014-08-01";"111";"COMERCIO INTERNACIONAL";"2014-II";"2014";"0.32"
"2014-08-01";"174";"INGENIERÍA DE SISTEMAS";"2014-II";"2014";"0.51"
"2014-08-01";"2";"INGENIERÍA CIVIL";"2014-II";"2014";"0.01"
"2014-08-01";"31";"ODONTOLOGÍA";"2014-II";"2014";"0.09"
"2014-08-01";"19";"CIENCIAS DEL DESARROLLO";"2014-II";"2014";"0.06"
"2014-08-01";"42";"INGENIERÍA DE GAS Y PETROQUÍMICA";"2014-II";"2014";"0.12"
"2014-08-01";"26";"INGENIERÍA AMBIENTAL";"2014-II";"2014";"0.08"
"2014-08-01";"54";"MEDICINA VETERINARIA Y ZOOTECNIA";"2014-II";"2014";"0.16"
"2014-08-01";"73";"PSICOLOGÍA";"2014-II";"2014";"0.21"
"2014-08-01";"55";"INGENIERÍA AUTOTRÓNICA";"2014-II";"2014";"0.16"
"2014-08-01";"4";"HISTORIA";"2014-II";"2014";"0.01"
"2014-08-01";"29";"INGENIERÍA ELECTRICA";"2014-II";"2014";"0.08"
"2014-08-01";"4";"SOCIOLOGÍA";"2014-II";"2014";"0.01"
"2014-08-01";"87";"ARQUITECTURA";"2014-II";"2014";"0.25"
"2014-08-01";"7";"TRABAJO SOCIAL";"2014-II";"2014";"0.02"
"2014-08-01";"18";"INGENIERÍA EN ZOOTECNIA E INDUSTRIA PECUARIA";"2014-II";"2014";"0.05"
"2014-08-01";"35";"INGENIERÍA EN PRODUCCIÓN EMPRESARIAL";"2014-II";"2014";"0.10"
"2014-08-01";"166";"EDUCACIÓN PARVULARIA";"2014-II";"2014";"0.49"
"2014-08-01";"1";"ECONOMÍA";"2014-II";"2014";"0.00"
"2014-08-01";"1";"CIENCIAS POLITICAS";"2014-II";"2014";"0.00"
"2014-08-01";"4";"ENFERMERÍA";"2014-II";"2014";"0.01"
"2014-08-01";"41";"INGENIERÍA AGRONÓMICA";"2014-II";"2014";"0.12"
"2014-08-01";"54";"INGENIERÍA ELECTRÓNICA";"2014-II";"2014";"0.16"
"2014-08-01";"16";"MEDICINA";"2014-II";"2014";"0.05"
"2014-08-01";"7";"ADMINISTRACIÓN DE EMPRESAS";"2014-II";"2014";"0.02"
"2014-08-01";"95";"DERECHO";"2014-II";"2014";"0.28"
"2014-08-01";"3";"NUTRICIÓN Y DIETÉTICA";"2014-II";"2014";"0.01"
"2014-08-01";"17";"ARTES PLÁSTICAS";"2014-II";"2014";"0.05"
"2014-08-01";"32";"LINGÜÍSTICA E IDIOMAS";"2014-II";"2014";"0.09"
"2014-08-01";"232";"CIENCIAS DE LA EDUCACIÓN";"2014-II";"2014";"0.68"
"2014-08-01";"13";"INGENIERÍA TEXTIL";"2014-II";"2014";"0.04"
"2014-08-01";"4";"CIENCIAS DE LA COMUNICACIÓN SOCIAL";"2014-II";"2014";"0.01"
"2014-08-01";"9";"CIENCIAS FÍSICAS  Y ENERGÍAS ALTERNATIVAS";"2014-II";"2014";"0.03"
"2015-01-01";"487";"INGENIERÍA EN PRODUCCIÓN EMPRESARIAL";"2015-I";"2015";"1.28"
"2015-01-01";"1183";"EDUCACIÓN PARVULARIA";"2015-I";"2015";"3.11"
"2015-01-01";"673";"ECONOMÍA";"2015-I";"2015";"1.77"
"2015-01-01";"1700";"ENFERMERÍA";"2015-I";"2015";"4.47"
"2015-01-01";"226";"CIENCIAS POLITICAS";"2015-I";"2015";"0.59"
"2015-01-01";"820";"INGENIERÍA AGRONÓMICA";"2015-I";"2015";"2.16"
"2015-01-01";"593";"INGENIERÍA ELECTRÓNICA";"2015-I";"2015";"1.56"
"2015-01-01";"1436";"MEDICINA";"2015-I";"2015";"3.78"
"2015-01-01";"1859";"ADMINISTRACIÓN DE EMPRESAS";"2015-I";"2015";"4.89"
"2015-01-01";"6034";"DERECHO";"2015-I";"2015";"15.87"
"2015-01-01";"361";"NUTRICIÓN Y DIETÉTICA";"2015-I";"2015";"0.95"
"2015-01-01";"192";"ARTES PLÁSTICAS";"2015-I";"2015";"0.50"
"2015-01-01";"1119";"LINGÜÍSTICA E IDIOMAS";"2015-I";"2015";"2.94"
"2015-01-01";"3724";"CIENCIAS DE LA EDUCACIÓN";"2015-I";"2015";"9.79"
"2015-01-01";"98";"INGENIERÍA TEXTIL";"2015-I";"2015";"0.26"
"2015-01-01";"964";"CIENCIAS DE LA COMUNICACIÓN SOCIAL";"2015-I";"2015";"2.53"
"2015-01-01";"3432";"CONTADURÍA PÚBLICA";"2015-I";"2015";"9.02"
"2015-01-01";"735";"COMERCIO INTERNACIONAL";"2015-I";"2015";"1.93"
"2015-01-01";"2011";"INGENIERÍA DE SISTEMAS";"2015-I";"2015";"5.29"
"2015-01-01";"834";"INGENIERÍA CIVIL";"2015-I";"2015";"2.19"
"2015-01-01";"1519";"ODONTOLOGÍA";"2015-I";"2015";"3.99"
"2015-01-01";"575";"GESTIÓN TURÍSTICA Y HOTELERA";"2015-I";"2015";"1.51"
"2015-01-01";"469";"CIENCIAS DEL DESARROLLO";"2015-I";"2015";"1.23"
"2015-01-01";"744";"INGENIERÍA DE GAS Y PETROQUÍMICA";"2015-I";"2015";"1.96"
"2015-01-01";"164";"INGENIERÍA AMBIENTAL";"2015-I";"2015";"0.43"
"2015-01-01";"860";"MEDICINA VETERINARIA Y ZOOTECNIA";"2015-I";"2015";"2.26"
"2015-01-01";"405";"INGENIERÍA AUTOTRÓNICA";"2015-I";"2015";"1.06"
"2015-01-01";"221";"HISTORIA";"2015-I";"2015";"0.58"
"2015-01-01";"286";"SOCIOLOGÍA";"2015-I";"2015";"0.75"
"2015-01-01";"117";"INGENIERÍA ELECTRICA";"2015-I";"2015";"0.31"
"2015-01-01";"887";"ARQUITECTURA";"2015-I";"2015";"2.33"
"2015-01-01";"923";"TRABAJO SOCIAL";"2015-I";"2015";"2.43"
"2015-02-01";"84";"CIENCIAS FÍSICAS  Y ENERGÍAS ALTERNATIVAS";"2015-I";"2015";"0.22"
"2015-02-01";"605";"PSICOLOGÍA";"2015-I";"2015";"1.59"
"2015-02-01";"189";"INGENIERÍA EN ZOOTECNIA E INDUSTRIA PECUARIA";"2015-I";"2015";"0.50"
"2015-08-01";"23";"LINGÜÍSTICA E IDIOMAS";"2015-II";"2015";"0.06"
"2015-08-01";"14";"INGENIERÍA TEXTIL";"2015-II";"2015";"0.04"
"2015-08-01";"5";"CIENCIAS FÍSICAS  Y ENERGÍAS ALTERNATIVAS";"2015-II";"2015";"0.01"
"2015-08-01";"10";"CIENCIAS DE LA COMUNICACIÓN SOCIAL";"2015-II";"2015";"0.03"
"2015-08-01";"128";"COMERCIO INTERNACIONAL";"2015-II";"2015";"0.34"
"2015-08-01";"33";"ODONTOLOGÍA";"2015-II";"2015";"0.09"
"2015-08-01";"1";"GESTIÓN TURÍSTICA Y HOTELERA";"2015-II";"2015";"0.00"
"2015-08-01";"15";"CIENCIAS DEL DESARROLLO";"2015-II";"2015";"0.04"
"2015-08-01";"7";"INGENIERÍA DE GAS Y PETROQUÍMICA";"2015-II";"2015";"0.02"
"2015-08-01";"21";"INGENIERÍA AMBIENTAL";"2015-II";"2015";"0.06"
"2015-08-01";"38";"MEDICINA VETERINARIA Y ZOOTECNIA";"2015-II";"2015";"0.10"
"2015-08-01";"125";"PSICOLOGÍA";"2015-II";"2015";"0.33"
"2015-08-01";"53";"INGENIERÍA AUTOTRÓNICA";"2015-II";"2015";"0.14"
"2015-08-01";"14";"MEDICINA";"2015-II";"2015";"0.04"
"2015-08-01";"26";"INGENIERÍA ELECTRICA";"2015-II";"2015";"0.07"
"2015-08-01";"127";"ARQUITECTURA";"2015-II";"2015";"0.33"
"2015-08-01";"18";"INGENIERÍA EN ZOOTECNIA E INDUSTRIA PECUARIA";"2015-II";"2015";"0.05"
"2015-08-01";"6";"ARTES PLÁSTICAS";"2015-II";"2015";"0.02"
"2015-08-01";"136";"EDUCACIÓN PARVULARIA";"2015-II";"2015";"0.36"
"2015-08-01";"2";"ECONOMÍA";"2015-II";"2015";"0.01"
"2015-08-01";"7";"ENFERMERÍA";"2015-II";"2015";"0.02"
"2015-08-01";"4";"CIENCIAS POLITICAS";"2015-II";"2015";"0.01"
"2015-08-01";"47";"INGENIERÍA AGRONÓMICA";"2015-II";"2015";"0.12"
"2015-08-01";"54";"INGENIERÍA ELECTRÓNICA";"2015-II";"2015";"0.14"
"2015-08-01";"8";"ADMINISTRACIÓN DE EMPRESAS";"2015-II";"2015";"0.02"
"2015-09-01";"16";"CONTADURÍA PÚBLICA";"2015-II";"2015";"0.04"
"2015-10-01";"1";"NUTRICIÓN Y DIETÉTICA";"2015-II";"2015";"0.00"
"2015-10-01";"354";"CIENCIAS DE LA EDUCACIÓN";"2015-II";"2015";"0.93"
"2015-10-01";"14";"INGENIERÍA DE SISTEMAS";"2015-II";"2015";"0.04"
"2015-10-01";"18";"INGENIERÍA CIVIL";"2015-II";"2015";"0.05"
"2015-10-01";"12";"TRABAJO SOCIAL";"2015-II";"2015";"0.03"
"2015-10-01";"36";"INGENIERÍA EN PRODUCCIÓN EMPRESARIAL";"2015-II";"2015";"0.09"
"2015-10-01";"129";"DERECHO";"2015-II";"2015";"0.34"
"2016-01-01";"1";"ADMINISTRACIÓN DE EMPRESAS";"2016-I";"2016";"7.69"
"2016-01-01";"3";"CIENCIAS DE LA EDUCACIÓN";"2016-I";"2016";"23.08"
"2016-01-01";"1";"ODONTOLOGÍA";"2016-I";"2016";"7.69"
"2016-04-01";"1";"DERECHO";"2016-I";"2016";"7.69"
"2016-04-01";"1";"CONTADURÍA PÚBLICA";"2016-I";"2016";"7.69"
"2016-08-01";"5";"DERECHO";"2016-II";"2016";"38.46"
"2016-10-01";"1";"MEDICINA";"2016-II";"2016";"7.69"
"2017-08-01";"1";"CONTADURÍA PÚBLICA";"2017-II";"2017";"50.00"
"2017-11-01";"1";"ADMINISTRACIÓN DE EMPRESAS";"2017-II";"2017";"50.00"
"2018-11-01";"1";"DERECHO";"2018-II";"2018";"100.00"
"2019-05-01";"4";"DERECHO";"2019-I";"2019";"22.22"
"2019-06-01";"1";"CIENCIAS DE LA EDUCACIÓN";"2019-I";"2019";"5.56"
"2019-06-01";"1";"INGENIERÍA AGRONÓMICA";"2019-I";"2019";"5.56"
"2019-06-01";"3";"ODONTOLOGÍA";"2019-I";"2019";"16.67"
"2019-06-01";"1";"INGENIERÍA CIVIL";"2019-I";"2019";"5.56"
"2019-07-01";"1";"ARQUITECTURA";"2019-I";"2019";"5.56"
"2019-08-01";"1";"CONTADURÍA PÚBLICA";"2019-II";"2019";"5.56"
"2019-09-01";"1";"DERECHO";"2019-II";"2019";"5.56"
"2019-09-01";"2";"MEDICINA VETERINARIA Y ZOOTECNIA";"2019-II";"2019";"11.11"
"2019-10-01";"1";"ODONTOLOGÍA";"2019-II";"2019";"5.56"
"2019-10-01";"1";"INGENIERÍA ELECTRÓNICA";"2019-II";"2019";"5.56"
"2019-10-01";"1";"INGENIERÍA DE SISTEMAS";"2019-II";"2019";"5.56"
"2020-03-01";"1";"INGENIERÍA AGRONÓMICA";"2020-I";"2020";"20.00"
"2020-09-01";"2";"MEDICINA";"2020-II";"2020";"40.00"
"2020-11-01";"1";"ODONTOLOGÍA";"2020-II";"2020";"20.00"
"2020-11-01";"1";"CIENCIAS DE LA EDUCACIÓN";"2020-II";"2020";"20.00"
"2021-02-01";"2";"INGENIERÍA ELECTRÓNICA";"2021-I";"2021";"50.00"
"2021-07-01";"1";"DERECHO";"2021-I";"2021";"25.00"
"2021-08-01";"1";"MEDICINA VETERINARIA Y ZOOTECNIA";"2021-II";"2021";"25.00"
"2022-03-01";"1";"CIENCIAS DE LA EDUCACIÓN";"2022-I";"2022";"100.00"
"2024-02-01";"1";"ADMINISTRACIÓN DE EMPRESAS";"2024-I";"2024";"25.00"
"2024-04-01";"2";"DERECHO";"2024-I";"2024";"50.00"
"2024-12-01";"1";"MEDICINA VETERINARIA Y ZOOTECNIA";"2024-II";"2024";"25.00"
"2025-11-01";"1";"SOCIOLOGÍA";"2025-II";"2025";"100.00"
"2026-03-01";"1";"CIENCIAS DE LA EDUCACIÓN";"2026-I";"2026";"50.00"
"2026-04-01";"1";"INGENIERÍA AGRONÓMICA";"2026-I";"2026";"50.00"
"8013-08-01";"1";"LINGÜÍSTICA E IDIOMAS";"8013-II";"8013";"100.00"
