"fecha","matricula_area","area_academica","periodo","año_y"
"2004-10-01","2262","CIENCIAS DE LA EDUCACIÓN","2004-II","2004"
"2004-10-01","834","CIENCIAS SOCIALES","2004-II","2004"
"2005-05-01","680"," CIENCIAS DE LA SALUD","2005-I","2005"
"2005-05-01","3","CIENCIAS Y ARTES DEL HÁBITAT","2005-I","2005"
"2005-05-01","478","CIENCIAS DE LA EDUCACIÓN","2005-I","2005"
"2005-05-01","37","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2005-I","2005"
"2005-05-01","1183","SIN AREA","2005-I","2005"
"2005-05-01","5","ESTOMATOLOGIA","2005-I","2005"
"2005-05-01","2","CIENCIA Y TECNOLOGIA","2005-I","2005"
"2005-05-01","244","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2005-I","2005"
"2005-05-01","54","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2005-I","2005"
"2005-06-01","389","CIENCIAS SOCIALES","2005-I","2005"
"2005-07-01","186","CIENCIAS Y ARTES DEL HÁBITAT","2005-II","2005"
"2005-07-01","2396","CIENCIAS DE LA EDUCACIÓN","2005-II","2005"
"2005-07-01","217","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2005-II","2005"
"2005-07-01","673","ESTOMATOLOGIA","2005-II","2005"
"2005-07-01","688","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2005-II","2005"
"2005-07-01","621","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2005-II","2005"
"2005-07-01","646"," CIENCIAS DE LA SALUD","2005-II","2005"
"2005-07-01","746","CIENCIAS SOCIALES","2005-II","2005"
"2005-07-01","171","CIENCIA Y TECNOLOGIA","2005-II","2005"
"2005-12-01","931","SIN AREA","2005-II","2005"
"2006-01-01","6","CIENCIAS DE LA EDUCACIÓN","2006-I","2006"
"2006-01-01","2","SIN AREA","2006-I","2006"
"2006-01-01","3","ESTOMATOLOGIA","2006-I","2006"
"2006-01-01","1"," CIENCIAS DE LA SALUD","2006-I","2006"
"2006-07-01","2452","SIN AREA","2006-II","2006"
"2006-07-01","721","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2006-II","2006"
"2006-08-01","971","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2006-II","2006"
"2006-08-01","1370","CIENCIAS SOCIALES","2006-II","2006"
"2006-09-01","608","ESTOMATOLOGIA","2006-II","2006"
"2006-10-01","176","CIENCIA Y TECNOLOGIA","2006-II","2006"
"2006-10-01","2846","CIENCIAS DE LA EDUCACIÓN","2006-II","2006"
"2006-10-01","1483"," CIENCIAS DE LA SALUD","2006-II","2006"
"2006-10-01","302","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2006-II","2006"
"2006-12-01","251","CIENCIAS Y ARTES DEL HÁBITAT","2006-II","2006"
"2007-01-01","5","ESTOMATOLOGIA","2007-I","2007"
"2007-04-01","4","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2007-I","2007"
"2007-06-01","18","SIN AREA","2007-I","2007"
"2007-06-01","351","CIENCIAS DE LA EDUCACIÓN","2007-I","2007"
"2007-06-01","98"," CIENCIAS DE LA SALUD","2007-I","2007"
"2007-06-01","11","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2007-I","2007"
"2007-06-01","2","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2007-I","2007"
"2007-06-01","25","CIENCIAS SOCIALES","2007-I","2007"
"2007-07-01","1039","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2007-II","2007"
"2007-07-01","239","CIENCIAS Y ARTES DEL HÁBITAT","2007-II","2007"
"2007-07-01","319","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2007-II","2007"
"2007-07-01","2492","CIENCIAS DE LA EDUCACIÓN","2007-II","2007"
"2007-08-01","1534","CIENCIAS SOCIALES","2007-II","2007"
"2007-08-01","782","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2007-II","2007"
"2007-08-01","685","ESTOMATOLOGIA","2007-II","2007"
"2007-09-01","2551","SIN AREA","2007-II","2007"
"2007-09-01","1628"," CIENCIAS DE LA SALUD","2007-II","2007"
"2007-09-01","276","CIENCIA Y TECNOLOGIA","2007-II","2007"
"2008-03-01","325","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2008-I","2008"
"2008-03-01","1792"," CIENCIAS DE LA SALUD","2008-I","2008"
"2008-03-01","298","CIENCIA Y TECNOLOGIA","2008-I","2008"
"2008-03-01","1658","CIENCIAS SOCIALES","2008-I","2008"
"2008-03-01","1270","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2008-I","2008"
"2008-03-01","227","CIENCIAS Y ARTES DEL HÁBITAT","2008-I","2008"
"2008-04-01","2587","CIENCIAS DE LA EDUCACIÓN","2008-I","2008"
"2008-04-01","730","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2008-I","2008"
"2008-05-01","694","ESTOMATOLOGIA","2008-I","2008"
"2008-05-01","2692","SIN AREA","2008-I","2008"
"2008-07-01","30"," CIENCIAS DE LA SALUD","2008-II","2008"
"2008-07-01","137","CIENCIAS SOCIALES","2008-II","2008"
"2008-07-01","82","ESTOMATOLOGIA","2008-II","2008"
"2008-07-01","80","CIENCIA Y TECNOLOGIA","2008-II","2008"
"2008-07-01","327","CIENCIAS DE LA EDUCACIÓN","2008-II","2008"
"2008-07-01","77","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2008-II","2008"
"2008-07-01","22","CIENCIAS Y ARTES DEL HÁBITAT","2008-II","2008"
"2008-07-01","115","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2008-II","2008"
"2008-07-01","371","SIN AREA","2008-II","2008"
"2008-07-01","51","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2008-II","2008"
"2009-02-01","1600","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2009-I","2009"
"2009-02-01","282","CIENCIAS Y ARTES DEL HÁBITAT","2009-I","2009"
"2009-02-01","846","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2009-I","2009"
"2009-02-01","873","ESTOMATOLOGIA","2009-I","2009"
"2009-02-01","2878","SIN AREA","2009-I","2009"
"2009-02-01","2763","CIENCIAS DE LA EDUCACIÓN","2009-I","2009"
"2009-02-01","427","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2009-I","2009"
"2009-02-01","2047"," CIENCIAS DE LA SALUD","2009-I","2009"
"2009-02-01","1939","CIENCIAS SOCIALES","2009-I","2009"
"2009-02-01","494","CIENCIA Y TECNOLOGIA","2009-I","2009"
"2009-08-01","399","CIENCIAS DE LA EDUCACIÓN","2009-II","2009"
"2009-12-01","32","CIENCIAS Y ARTES DEL HÁBITAT","2009-II","2009"
"2009-12-01","112","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2009-II","2009"
